"ID","time","lon","lat","centre_lon","centre_lat","d2c","step","angle"
"PET-A",2011-12-13 00:22:57,7.231573465,-69.89723462,7.231573465,-69.89723462,0,8.4061190865801,NA
"PET-A",2011-12-13 00:52:57,7.25831616,-69.82244958,7.231573465,-69.89723462,8.4061190865801,12.3584916247705,-0.0438998214680536
"PET-A",2011-12-13 01:22:57,7.311297339,-69.71319766,7.231573465,-69.89723462,20.7596933112063,13.4360324474925,-0.0613014547683101
"PET-A",2011-12-13 01:52:57,7.389326812,-69.59585736,7.231573465,-69.89723462,34.1695512865149,13.0418175360675,-0.074846274398904
"PET-A",2011-12-13 02:22:57,7.488740201,-69.48424186,7.231573465,-69.89723462,47.1379403760993,13.0748314414972,0.00497908415496222
"PET-A",2011-12-13 02:52:57,7.58630658,-69.3721707,7.231573465,-69.89723462,60.1740681907323,12.6788057476853,0.0346154728039112
"PET-A",2011-12-13 03:22:57,7.669772191,-69.26240971,7.231573465,-69.89723462,72.8464308923237,5.99617303719312,0.019869166548759
"PET-A",2011-12-13 03:52:57,7.706240444,-69.21023808,7.231573465,-69.89723462,78.8423003281558,0.374197858611493,0.385732372289961
"PET-A",2011-12-13 04:22:57,7.704901249,-69.20691751,7.231573465,-69.89723462,79.190549813631,0.188766254029272,0.408842561953996
"PET-A",2011-12-13 04:52:57,7.702407245,-69.20547589,7.231573465,-69.89723462,79.3245134420196,0.930888549736151,-4.84001791517652e-05
"PET-A",2011-12-13 05:22:57,7.690113208,-69.19836607,7.231573465,-69.89723462,79.9883851301844,7.72393711581291,0.107260738172332
"PET-A",2011-12-13 05:52:57,7.57122283,-69.14355605,7.231573465,-69.89723462,85.1171433876621,11.1193988124726,-0.028632816921831
"PET-A",2011-12-13 06:22:57,7.407078487,-69.06291767,7.231573465,-69.89723462,93.325331814493,16.0534237063112,-0.134350893815041
"PET-A",2011-12-13 06:52:57,7.216891284,-68.93619883,7.231573465,-69.89723462,107.209231472129,13.6346660736102,0.175052897013329
"PET-A",2011-12-13 07:22:57,7.006675684,-68.84029449,7.231573465,-69.89723462,118.236825657537,12.3329055515498,0.150672597449802
"PET-A",2011-12-13 07:52:57,6.783450686,-68.76480934,7.231573465,-69.89723462,127.553134572051,15.5344575545329,-0.0731049236829102
"PET-A",2011-12-13 08:22:57,6.52334192,-68.66252097,7.231573465,-69.89723462,140.545409396828,20.7281523139084,0.112976303745988
"PET-A",2011-12-13 08:52:57,6.13840066,-68.54097685,7.231573465,-69.89723462,157.361529108313,14.7440343617288,0.0942647242291087
"PET-A",2011-12-13 09:22:57,5.844660395,-68.46439649,7.231573465,-69.89723462,169.033662523436,20.1827673011309,0.104816839176882
"PET-A",2011-12-13 09:52:57,5.416702141,-68.37540059,7.231573465,-69.89723462,184.443679015914,20.1405094657356,-0.00556613448870463
"PET-A",2011-12-13 10:22:57,4.992650746,-68.28572166,7.231573465,-69.89723462,200.651102449929,22.5309230761235,-0.0178605570273432
"PET-A",2011-12-13 10:52:57,4.525271577,-68.18222188,7.231573465,-69.89723462,219.682499613801,11.6778199668743,-0.0109132802346608
"PET-A",2011-12-13 11:22:57,4.285177223,-68.12776425,7.231573465,-69.89723462,229.814598999918,12.0987637733711,0.00113404337225602
"PET-A",2011-12-13 11:52:57,4.036864764,-68.07144223,7.231573465,-69.89723462,240.431413657125,20.0586658394473,0.00104848859217655
"PET-A",2011-12-13 12:22:57,3.626581904,-67.97802401,7.231573465,-69.89723462,258.275706073598,19.0262888938111,-0.0821937337573529
"PET-A",2011-12-13 12:52:57,3.259592937,-67.87779298,7.231573465,-69.89723462,276.030181293134,16.7838986345082,-0.0134342698961604
"PET-A",2011-12-13 13:22:57,2.940256668,-67.78779284,7.231573465,-69.89723462,291.866153851167,6.05776907460686,0.11197505978634
"PET-A",2011-12-13 13:52:57,2.816307161,-67.76045077,7.231573465,-69.89723462,297.344934705308,1.2270540784377,0.555119328075313
"PET-A",2011-12-13 14:22:57,2.78727814,-67.76076264,7.231573465,-69.89723462,298.016348926696,5.7081187513469,-0.288293667555485
"PET-A",2011-12-13 14:52:57,2.656786985,-67.7475677,7.231573465,-69.89723462,302.396298253429,1.76525655207496,0.291594612338007
"PET-A",2011-12-13 15:22:57,2.615052205,-67.74806696,7.231573465,-69.89723462,303.377593997341,0.481529096149275,1.47837236069968
"PET-A",2011-12-13 15:52:57,2.614362964,-67.75237645,7.231573465,-69.89723462,303.004417060695,0.408248551231735,-0.898177802721999
"PET-A",2011-12-13 16:22:57,2.606457126,-67.75447941,7.231573465,-69.89723462,303.009581313863,5.79130507814836,-1.10411552337112
"PET-A",2011-12-13 16:52:57,2.485811624,-67.72990426,7.231573465,-69.89723462,308.225983488355,20.7006185373829,-0.0045819044599792
"PET-A",2011-12-13 17:22:57,2.057256661,-67.64090762,7.231573465,-69.89723462,327.051838825953,16.1330037047067,-0.118361152282197
"PET-A",2011-12-13 17:52:57,1.748071374,-67.55715716,7.231573465,-69.89723462,342.478708345731,16.4381187332776,0.0202903277458681
"PET-A",2011-12-13 18:22:57,1.429702219,-67.47426878,7.231573465,-69.89723462,358.142852137358,12.676826041501,0.330832772765739
"PET-A",2011-12-13 18:52:57,1.143911614,-67.44437162,7.231573465,-69.89723462,368.410453436719,11.2446428772662,-0.0704648789727921
"PET-A",2011-12-13 19:22:57,0.896205728,-67.41109837,7.231573465,-69.89723462,378.038305263418,7.12879987647961,-0.150671570677309
"PET-A",2011-12-13 19:52:57,0.749318141,-67.38123186,7.231573465,-69.89723462,384.645348190387,8.0658064191566,0.164916464789404
