"dttz","depid","model","VDBA","log10VDBA","logVDBA"
"2019-02-21 16:00:09.9","20190221_TW9_M57","LSM303",0.106096985506445,-0.974296955368359,-2.24340164558067
"2019-02-21 16:00:19.9","20190221_TW9_M57","LSM303",0.309081077107589,-0.509927582964257,-1.17415165103998
"2019-02-21 16:00:29.9","20190221_TW9_M57","LSM303",0.032574133555852,-1.48712712732426,-3.4242367547639
"2019-02-21 16:00:39.9","20190221_TW9_M57","LSM303",0.0196972154239486,-1.70559516528461,-3.92727800226705
"2019-02-21 16:00:49.9","20190221_TW9_M57","LSM303",0.0453865529886936,-1.34307279973866,-3.09253940748401
"2019-02-21 16:00:59.9","20190221_TW9_M57","LSM303",0.226199914528638,-0.645507563512014,-1.48633609315767
"2019-02-21 16:01:09.9","20190221_TW9_M57","LSM303",0.0334123293013079,-1.47609324697658,-3.39883030635745
"2019-02-21 16:01:19.9","20190221_TW9_M57","LSM303",0.0402787127035536,-1.39492441782738,-3.21193217034272
"2019-02-21 16:01:29.9","20190221_TW9_M57","LSM303",0.112257762784786,-0.949783617201898,-2.18695759853905
"2019-02-21 16:01:39.9","20190221_TW9_M57","LSM303",0.0594214249616892,-1.22605693776328,-2.82310042805566
"2019-02-21 16:01:49.9","20190221_TW9_M57","LSM303",0.02738523909876,-1.56248346292147,-3.5977511297727
"2019-02-21 16:01:59.9","20190221_TW9_M57","LSM303",0.0622669853281346,-1.20574216024695,-2.77632392417907
"2019-02-21 16:02:09.9","20190221_TW9_M57","LSM303",0.123581817680704,-0.908045421333013,-2.09085185092289
"2019-02-21 16:02:19.9","20190221_TW9_M57","LSM303",0.0267661835462501,-1.57241354823642,-3.62061599619105
"2019-02-21 16:02:29.9","20190221_TW9_M57","LSM303",0.144451846428965,-0.84027690249555,-1.93480906967346
"2019-02-21 16:02:39.9","20190221_TW9_M57","LSM303",0.0322582827632361,-1.49135875555527,-3.43398043884771
"2019-02-21 16:02:49.9","20190221_TW9_M57","LSM303",0.182045525355053,-0.739819991475943,-1.70349848387149
"2019-02-21 16:02:59.9","20190221_TW9_M57","LSM303",0.0459536067271229,-1.33768039678677,-3.08012294083159
"2019-02-21 16:03:09.9","20190221_TW9_M57","LSM303",0.00837606791758601,-2.07695980982572,-4.78237669685246
